year,duration,dist,u
1978,54,20,0.77777491
1978,18,20,0.094973385
1978,72,20,1.52922679
1978,24,20,0.857257107
1978,48,20,1.312253875
1978,72,20,1.00975898
1978,6,20,0.101629203
1978,18,20,0.903367808
1978,6,20,0.452042465
1978,144,20,1.422329799
1978,48,20,0.595549742
1978,18,20,0.079532679
1978,24,20,0.588216578
1978,6,20,0.250400386
1978,96,20,0.81596514
1978,24,20,0.193049151
1978,90,20,0.639060474
1978,6,20,1.605554952
1978,66,20,1.392515525
1978,24,20,0.918698967
1978,48,20,0.493640963
1978,6,20,1.875352442
1978,18,20,0.97818407
1978,48,20,1.683063966
1978,54,20,1.305295558
1978,24,20,0.522657992
1978,24,20,0.099274446
1978,18,20,0.606843943
1978,48,20,0.095692489
1978,30,20,0.75472375
1978,18,20,1.103952849
1978,102,20,0.801617921
1978,18,20,0.089135841
1978,6,20,1.216311123
1978,42,20,1.730505415
1978,24,20,1.307406773
1978,30,20,0.898187334
1978,24,20,0.513697377
1978,24,20,0.093074503
1978,48,20,0.970649802
1978,96,20,1.399900952
1978,90,20,1.078660722
1978,6,20,0.068289043
1978,24,20,0.848822019
1978,18,20,0.117039929
1978,24,20,0.841439005
1978,6,20,0.959193809
1978,18,20,0.788564683
1978,6,20,1.619179728
1978,18,20,1.43234787
1978,54,20,0.926938232
1978,18,20,1.642668052
1978,30,20,1.133741345
1978,18,20,0.690432624
1978,6,20,1.189132392
1978,18,20,1.375326959
1978,6,20,0.817186718
1978,24,20,1.128445709
1978,42,20,1.496041855
1978,24,20,0.922075204
1978,30,20,0.431685607
1978,18,20,0.984830662
1978,6,20,0.35592304
1978,18,20,0.11848689
1978,24,20,0.648140751
1978,6,20,0.046388134
1978,18,20,0.849844394
1978,6,20,0.251403429
1978,18,20,0.869930239
1978,6,20,0.070565897
1978,18,20,1.021282497
1978,6,20,0.088375103
1978,18,20,0.43962365
1978,6,20,0
1978,42,20,0.612899213
1978,6,20,0
1978,48,20,0.342615758
1978,18,20,0
1978,24,20,0.661752479
1978,54,20,1.566422767
1978,18,20,1.30410307
1978,78,20,0.773359759
1978,144,20,1.175404989
1978,24,20,1.449854515
1978,18,20,1.727422809
1978,6,20,1.026511206
1978,18,20,1.59134108
1978,24,20,0.73754916
1978,6,20,0.051773526
1978,18,20,0.810062884
1978,6,20,0
1978,18,20,1.231288694
1978,6,20,0
1978,18,20,1.370147301
1978,6,20,0.15069924
1978,18,20,1.15594899
1978,24,20,0.686856591
1978,6,20,0
