kappa	t	t_1
0.05	0.8	0.819787192076998
0.05	0.81	0.829753592784579
0.05	0.82	0.839720049259318
0.05	0.83	0.84968656141295
0.05	0.84	0.859653129157336
0.05	0.85	0.869619752404463
0.05	0.86	0.879586431066444
0.05	0.87	0.889553165055514
0.05	0.88	0.899519954284037
0.05	0.89	0.909486798664498
0.05	0.9	0.919453698109509
0.05	0.91	0.929420652531807
0.05	0.92	0.939387661844249
0.05	0.93	0.949354725959823
0.05	0.94	0.959321844791636
0.05	0.95	0.969289018252921
0.05	0.96	0.979256246257034
0.05	0.97	0.989223528717456
0.05	0.98	0.99919086554779
0.05	0.99	1.00915825666176
0.05	1	1.01912570197323
0.25	-3	-2.50026214766662
0.25	-2.99	-2.49206655583385
0.25	-2.98	-2.48386039314137
0.25	-2.97	-2.47564332937634
0.25	-2.96	-2.46741503604806
0.25	-2.95	-2.45917518671114
0.25	-2.94	-2.45092345729439
0.25	-2.93	-2.4426595264353
0.25	-2.92	-2.43438307581941
0.25	-2.91	-2.42609379052434
0.25	-2.9	-2.41779135936775
0.25	-2.89	-2.40947547525898
0.25	-2.88	-2.40114583555348
0.25	-2.87	-2.39280214240977
0.25	-2.86	-2.3844441031482
0.25	-2.85	-2.37607143061075
0.25	-2.84	-2.36768384352146
0.25	-2.83	-2.35928106684664
0.25	-2.82	-2.35086283215424
0.25	-2.81	-2.34242887797154
0.25	-2.8	-2.33397895014065
0.25	-2.79	-2.32551280217084
0.25	-2.78	-2.31703019558699
0.25	-2.77	-2.30853090027352
0.25	-2.76	-2.30001469481275
0.25	-2.75	-2.29148136681707
0.25	-2.74	-2.28293071325416
0.25	-2.73	-2.27436254076413
0.25	-2.72	-2.26577666596823
0.25	-2.71	-2.25717291576785
0.25	-2.7	-2.24855112763332
0.25	-2.69	-2.23991114988164
0.25	-2.68	-2.23125284194215
0.25	-2.67	-2.22257607460967
0.25	-2.66	-2.21388073028409
0.25	-2.65	-2.20516670319577
0.25	-2.64	-2.19643389961602
0.25	-2.63	-2.18768223805196
0.25	-2.62	-2.17891164942497
0.25	-2.61	-2.17012207723233
0.25	-2.6	-2.16131347769115
0.25	-2.59	-2.1524858198642
0.25	-2.58	-2.14363908576703
0.25	-2.57	-2.13477327045593
0.25	-2.56	-2.12588838209621
0.25	-2.55	-2.11698444201033
0.25	-2.54	-2.10806148470581
0.25	-2.53	-2.09911955788214
0.25	-2.52	-2.09015872241685
0.25	-2.51	-2.08117905233032
0.25	-2.5	-2.07218063472913
0.25	-2.49	-2.06316356972803
0.25	-2.48	-2.05412797035032
0.25	-2.47	-2.0450739624067
0.25	-2.46	-2.03600168435266
0.25	-2.45	-2.0269112871246
0.25	-2.44	-2.01780293395472
0.25	-2.43	-2.00867680016507
0.25	-2.42	-1.99953307294094
0.25	-2.41	-2.26170464738583
0.25	-2.4	-2.25208814581999
0.25	-2.39	-2.24246335218902
0.25	-2.38	-2.23283039800604
0.25	-2.37	-2.22318941872829
0.25	-2.36	-2.21354055359861
0.25	-2.35	-2.20388394548095
0.25	-2.34	-2.19421974069029
0.25	-2.33	-2.18454808881724
0.25	-2.32	-2.17486914254755
0.25	-2.31	-2.16518305747688
0.25	-2.3	-2.15548999192114
0.25	-2.29	-2.14579010672285
0.25	-2.28	-2.13608356505361
0.25	-2.27	-2.12637053221327
0.25	-2.26	-2.11665117542616
0.25	-2.25	-2.10692566363455
0.25	-2.24	-2.09719416728998
0.25	-2.23	-2.08745685814271
0.25	-2.22	-2.07771390902973
0.25	-2.21	-2.06796549366175
0.25	-2.2	-2.05821178640958
0.25	-2.19	-2.04845296209027
0.25	-2.18	-2.03868919575354
0.25	-2.17	-2.02892066246878
0.25	-2.16	-2.01914753711323
0.25	-2.15	-2.00936999416151
0.25	-2.14	-1.99958820747719
0.25	-2.13	-1.98980235010662
0.25	-2.12	-1.98001259407557
0.25	-2.11	-1.97021911018896
0.25	-2.1	-1.96042206783419
0.25	-2.09	-1.95062163478849
0.25	-2.08	-1.94081797703046
0.25	-2.07	-1.93101125855655
0.25	-2.06	-1.92120164120246
0.25	-2.05	-1.9113892844701
0.25	-2.04	-1.90157434536028
0.25	-2.03	-1.89175697821164
0.25	-2.02	-1.88193733454586
0.25	-2.01	-1.87211556291981
0.25	-2	-1.86229180878455
0.25	-1.99	-1.85246621435177
0.25	-1.98	-1.84263891846767
0.25	-1.97	-1.83281005649471
0.25	-1.96	-1.82297976020123
0.25	-1.95	-1.81314815765932
0.25	-1.94	-1.80331537315104
0.25	-1.93	-1.79348152708299
0.25	-1.92	-1.78364673590967
0.25	-1.91	-1.77381111206533
0.25	-1.9	-1.7639747639048
0.25	-1.89	-1.75413779565296
0.25	-1.88	-1.74430030736316
0.25	-1.87	-1.7344623948845
0.25	-1.86	-1.72462414983789
0.25	-1.85	-1.71478565960091
0.25	-1.84	-1.70494700730138
0.25	-1.83	-1.69510827181959
0.25	-1.82	-1.68526952779897
0.25	-1.81	-1.67543084566517
0.25	-1.8	-1.66559229165326
0.25	-1.79	-1.65575392784304
0.25	-1.78	-1.64591581220202
0.25	-1.77	-1.63607799863607
0.25	-1.76	-1.6262405370473
0.25	-1.75	-1.61640347339904
0.25	-1.74	-1.60656684978749
0.25	-1.73	-1.59673070451987
0.25	-1.72	-1.58689507219867
0.25	-1.71	-1.57705998381162
0.25	-1.7	-1.56722546682712
0.25	-1.69	-1.55739154529473
0.25	-1.68	-1.54755823995025
0.25	-1.67	-1.53772556832514
0.25	-1.66	-1.52789354485981
0.25	-1.65	-1.51806218102034
0.25	-1.64	-1.50823148541827
0.25	-1.63	-1.49840146393308
0.25	-1.62	-1.48857211983684
0.25	-1.61	-1.47874345392064
0.25	-1.6	-1.46891546462255
0.25	-1.59	-1.45908814815636
0.25	-1.58	-1.44926149864105
0.25	-1.57	-1.43943550823033
0.25	-1.56	-1.42961016724195
